1 1 |Ugoke! Ponkotsu medabotto| |2 Jul. 1999| 5.501234567891
1 2 |bad tite encoding| |9 Jul. 1999| 7.401234567891
1 3 |Otoko no yume wa tairyokuda| |16 Jul. 1999| 6.701234567891
1 4 |Densetsu no medarotta| |23 Jul. 1999| 6.201234567891
1 5 |Umi yo kyo mo arigato| |22 Sep. 2001| 0
1 6 |The Gimme Ghost| |1 Jan. 2000| 6.401234567891
1 7 |The Cyandog Bites Back| |1 Jan. 2000| 7.201234567891
1 8 |For Better for Worse Part 1| |1 Jan. 2000| 6.401234567891
1 9 |For Better for Worse Part 2| |1 Jan. 2000| 0
1 10 |Mystery Medabot| |1 Jan. 2000| 0
1 11 |Phantom Renegade: Unmasked| |1 Jan. 2000| 0
1 12 |Ban All Medabots| |1 Jan. 2000| 0
1 13 |Meet Your Meda Maker| |1 Jan. 2000| 0
1 14 |The Spy Who Robattled Me| |1 Jan. 2000| 0
1 15 |I Dream of Hushi| |1 Jan. 2000| 0
1 16 |Metabee vs. Rokusho| |1 Jan. 2000| 0
1 17 |Phantom Renegade: Unmasked| |1 Jan. 2000| 0
1 18 |Fifteen Minutes of Shame| |1 Jan. 2000| 0
1 19 |Enter Rintaro| |1 Jan. 2000| 0
1 20 |The Ace from Outer Space| |1 Jan. 2000| 0
1 21 |Me and My Shadow Sword| |1 Jan. 2000| 0
1 22 |Tobe! Metabi| |26 Nov. 1999| 0
1 23 |X-treme Measures| |1 Jan. 2000| 0
1 24 |The Road to Ruins A.K.A. Raiders of the Lost Medabot| |1 Jan. 2000| 0
1 25 |Beetle Mania| |22 Apr. 2002| 0
1 26 |The Mother of All Robattles| |27 Apr. 2002| 0
2 1 |Spaceship Superstars| |1 Jul. 2002| 0
2 2 |For Love or Robattle| |2 Jul. 2002| 0
2 3 |Dance with the Mantis| |3 Jul. 2002| 0
2 4 |Once Frostbitten  Twice Shy| |4 Jul. 2002| 0
2 5 |Bridge Over Troubled Squidguts| |5 Jul. 2002| 0
2 6 |No Body Home| |12 Jul. 2002| 0
2 7 |Welcome to Ninja World| |19 Jul. 2002| 0
2 8 |Eat  Drink  Man  Medabot| |26 Jul. 2002| 0
2 9 |There's Something About Miss Mimosa| |2 Aug. 2002| 0
2 10 |The Birds and the Metabees| |9 Aug. 2002| 0
2 11 |Skyward  Yo| |16 Aug. 2002| 0
2 12 |Love at First Bite| |23 Aug. 2002| 0
2 13 |Heavy Medal| |30 Aug. 2002| 0
2 14 |Let the Meda-Games Begin| |14 Sep. 2002| 0
2 15 |Pixies and Pirates| |15 Sep. 2002| 0
2 16 |The French Deception| |21 Sep. 2002| 0
2 17 |Space Medaballerina X| |22 Sep. 2002| 0
2 18 |Swede and Sour| |28 Sep. 2002| 0
2 19 |Future's Past| |28 Sep. 2002| 0
2 20 |The Medaforce Within| |5 Oct. 2002| 0
2 21 |A Date with Destiny| |6 Oct. 2002| 0
2 22 |Calm Before the Storm| |12 Oct. 2002| 0
2 23 |Taking the Victor Out of Victory| |19 Oct. 2002| 0
2 24 |Altered States| |20 Nov. 2002| 0
2 25 |Waking to a Dream| |26 Oct. 2002| 0
2 26 |Metabee's Last Stand| |2 Nov. 2002| 0
3 1 |Kilobot Rising| |13 Sep. 2003| 0
3 2 |Fighting Temptation| |14 Sep. 2003| 0
3 3 |What the World Needs Now| |20 Sep. 2003| 0
3 4 |Delivery Boy| |21 Sep. 2003| 0
3 5 |Scoop of the Century| |27 Sep. 2003| 0
3 6 |Robbed Zombies| |28 Sep. 2003| 0
3 7 |Lights  Camera... Robattle!| |4 Oct. 2003| 0
3 8 |Dark Alliance: Pt. 1| |11 Oct. 2003| 0
3 9 |Dark Alliance: Pt. 2| |18 Oct. 2003| 0
3 10 Redrun-Away |25 Oct. 2003| 0
3 11 |Erika's Secret Garden| |26 Oct. 2003| 0
3 12 |Metabee's Out of Body Exp| |1 Nov. 2003| 0
3 13 |The Bee's Rescue the Honey| |8 Nov. 2003| 0
3 14 |A Night in the Medabot Junkyard| |15 Nov. 2003| 0
3 15 |Once a Medafighter: Pt. 1| |22 Nov. 2003| 0
3 16 |Once a Medafighter: Pt. 2| |6 Dec. 2003| 0
3 17 |Title Flight| |13 Dec. 2003| 0
3 18 |The Agony of the Cheat| |20 Dec. 2003| 0
3 19 |It's the Medafighter Way| |21 Dec. 2003| 0
3 20 |Fall from Grace: Pt. 1| |27 Dec. 2003| 0
3 21 |Fall from Grace: Pt. 2| |28 Dec. 2003| 0
3 22 |Mystery Medafighter Unmasked?| |3 Jan. 2004| 0
3 23 |The Truth About Charlie| |4 Jan. 2004| 0
3 24 |Rok's Reborn| |10 Jan. 2004| 0
3 25 |I  Kilobot| |11 Jan. 2004| 0
3 26 |Thanks for the Memories| |17 Jan. 2004| 0
3 27 |How Spyke Got His Style Back| |18 Jan. 2004| 0
3 28 |The Medabot Straight Line Marathon| |24 Jan. 2004| 0
3 29 |Kung Fu for Thought| |25 Jan. 2004| 0
3 30 |Erika to the Rescue| |30 Jan. 2004| 0
3 31 |Rough on a Hot Tin Cat"| |14 Feb. 2004| 0
3 32 Meda-Forced |15 Feb. 2004| 0
3 33 |Poor Miss Nae| |21 Feb. 2004| 0
3 34 |Mystery Medafighter... Revealed!| |22 Feb. 2004| 0
3 35 |Winner Take All| |28 Feb. 2004| 0
3 36 |Transfusion Confusion| |29 Feb. 2004| 0
3 37 |Gryphon Doom| |6 Mar. 2004| 0
3 38 |Final Goodbyes| |7 Mar. 2004| 0
3 39 |Into the Fire| |8 May. 2004| 0
